sign,slug,headline,subhead,body,tags,tone,image_prompt
Aries,aries,you arrive with a spark,Bold direct warm,"Aries energy likes the first move: the message sent, the door opened, the tiny brave thing done before overthinking gets a vote. Astra works well with momentum, curiosity, and people willing to learn by moving.","bold|direct|warm",sign_welcome,"electric cinematic portrait, ember glow, motion blur accents, mythic confidence, warm reds and golds"
Taurus,taurus,you make space feel real,Grounded sensual steady,"Taurus energy notices texture, comfort, timing, and whether something actually holds up in the real world. You tend to trust what proves itself slowly. Astra begins here with steadiness instead of noise.","grounded|steady|sensory",sign_welcome,"soft luxury atmosphere, earth tones, candlelight glow, tactile realism, elegant calm"
Gemini,gemini,your mind opens tabs faster than reality can load,Clever curious quick,"Gemini energy follows connections the way lightning follows air. One idea becomes six, then circles back as a joke somehow tied to a deep truth. Astra can help turn scattered sparks into visible patterns.","clever|playful|quick",sign_welcome,"electric air energy, layered thoughts, luminous typography feeling, silver and yellow accents"
Cancer,cancer,your memory has gravity,Tender protective intimate,"Cancer notices what people keep, protect, and return to. Your first Astra thread starts with care as a real kind of intelligence. Some people build walls. You build belonging.","tender|protective|intimate",sign_welcome,"moonlit warmth, oceanic atmosphere, soft silver-blue palette, emotional realism"
Leo,leo,you were not built to disappear,Radiant expressive heart-led,"Leo energy brings warmth, performance, generosity, and the strange courage of being visibly alive. Astra is not here to shrink that light down. It is here to help you aim it.","radiant|confident|creative",sign_welcome,"golden theatrical lighting, solar aura, regal but human, cinematic portrait"
Virgo,virgo,you notice what everyone else edits out,Precise observant thoughtful,"Virgo energy catches the tiny detail that quietly changes everything. The sentence slightly off. The plan with one missing piece. The emotional static under the conversation. Astra appreciates that kind of perception.","precise|observant|intelligent",sign_welcome,"clean refined composition, parchment textures, intelligent calm, muted earth palette"
Libra,libra,you can feel the balance shift before it breaks,Harmonic social aesthetic,"Libra energy tracks tone, symmetry, chemistry, and the invisible agreements between people. You often notice what keeps a room flowing - or what quietly disrupts it. Astra begins with relationship awareness, not isolation.","harmonic|social|elegant",sign_welcome,"soft luxury gradients, artistic symmetry, airy elegance, rose and cream palette"
Scorpio,scorpio,you can read the room under the room,Magnetic grounded perceptive,"Scorpio energy watches what is not being said. The hesitation. The motive beneath the motive. Astra can help turn that depth into language instead of leaving it buried as private weather.","magnetic|deep|perceptive",sign_welcome,"dark velvet atmosphere, hidden depth, cinematic shadows, crimson undertones"
Sagittarius,sagittarius,you are always partway to the next horizon,Expansive witty searching,"Sagittarius energy keeps looking beyond the fence line - toward meaning, freedom, experience, and bigger questions. Astra works best when curiosity stays larger than certainty.","expansive|witty|adventurous",sign_welcome,"wide horizon imagery, cosmic traveler mood, warm sunrise palette, windswept energy"
Capricorn,capricorn,you treat potential like a responsibility,Structured resilient calm,"Capricorn energy respects what survives contact with reality. You understand effort, timing, patience, and the quiet satisfaction of building something durable. Astra begins here with earned gravity.","structured|resilient|grounded",sign_welcome,"mountainous cinematic realism, charcoal and stone palette, architectural strength"
Aquarius,aquarius,you think slightly ahead of the room,Inventive detached visionary,"Aquarius energy notices future-patterns before they become normal. Sometimes that feels liberating. Sometimes isolating. Astra can help translate strange clarity into something others can actually meet you inside.","inventive|visionary|independent",sign_welcome,"futuristic celestial aesthetic, electric cyan glows, lucid dream realism"
Pisces,pisces,you feel the signal before the explanation,Dreamlike intuitive permeable,"Pisces energy moves through symbols, moods, dreams, music, intuition, and emotional atmospheres that resist simple language. Astra does not try to flatten that sensitivity. It tries to give it shape.","dreamlike|intuitive|sensitive",sign_welcome,"ethereal watercolor realism, oceanic dream haze, luminous blues and violets"
